Song Title,Artist,URI,Tempo,Energy
As It Was,Harry Styles,spotify:track:4LRPiXqCikLlN15c3yImP7,173.93,0.731
Thats What I Want,Lil Nas X,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,87.981,0.846
Heat Waves,Glass Animals,spotify:track:02MWAaffLxlfxAUY7c5dvx,80.87,0.525
Stay,The Kid LAROI,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,169.928,0.764
About Damn Time,Lizzo,spotify:track:1PckUlxKqWQs3RlWXVBLw3,108.966,0.743
Big Energy,Latto,spotify:track:6Zu3aw7FfjAF9WA0fA81Oq,106.017,0.807
Ghost,Justin Bieber,spotify:track:6I3mqTwhRpn34SLVafSH7G,153.96,0.741
Need To Know,Doja Cat,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,130.041,0.609
Sunroof,Nicky Youre,spotify:track:4h4QlmocP3IuwYEj2j14p8,131.443,0.714
First Class,Jack Harlow,spotify:track:0wHFktze2PHC5jDt3B17DC,107.005,0.582
Easy On Me,Adele,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,141.981,0.366
Late Night Talking,Harry Styles,spotify:track:1qEmFfgcLObUfQm0j1W2CK,114.996,0.728
Woman,Doja Cat,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,107.998,0.764
I Like You (A Happier Song),Post Malone,spotify:track:0O6u0VJ46W86TxN9wgyqDj,100.964,0.67
Industry Baby,Lil Nas,spotify:track:27NovPIUIRrOZoCHxABJwK,149.995,0.704
One Right Now,Post Malone,spotify:track:7lzzODogp5XlKB2llNxncf,97.014,0.781
Boyfriend,Dove Cameron,spotify:track:59CfNbkERJ3NoTXDvoURjj,179.773,0.612
abcdefu,GAYLE,spotify:track:4fouWK6XVHhzl78KzQ1UjL,121.932,0.54
Shivers,Ed Sheeran,spotify:track:50nfwKoDiSYg8zOCREWAm5,141.02,0.859
Enemy,Imagine Dragons,spotify:track:1r9xUipOqoNwggBpENDsvJ,77.011,0.783
Numb Little Bug,Em Beihold,spotify:track:3o9kpgkIcffx0iSwxhuNI2,84.974,0.527
Vegas,Doja Cat,spotify:track:0hquQWY3xvYqN4qtiquniF,159.969,0.601
Sweetest Pie,Megan Thee Stallion,spotify:track:7mFj0LlWtEJaEigguaWqYh,123.977,0.628
Get Into It (Yuh),Doja Cat,spotify:track:0W6I02J9xcqK8MtSeosEXb,91.942,0.655
I Ain't Worried,OneRepublic,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,139.994,0.797
Running Up That Hill (A Deal With God),Kate Bush,spotify:track:1PtQJZVZIdWIYdARpZRDFO,108.376,0.545
Bad Habit,Steve Lacy,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,168.955,0.507
Bam Bam,Camila Cabello,spotify:track:0QBzMgT7NIeoCYy3sJCof1,94.996,0.697
Better Days,NEIKED,spotify:track:6f5ExP43esnvdKPddwKXJH,110.054,0.671
Bad Habits,Ed Sheeran,spotify:track:3rmo8F54jFF8OgYsqTxm5d,126.011,0.893
Fingers Crossed,Lauren Spencer-Smith,spotify:track:3yMC1KsTwh0ceXdIe4QQAQ,109.414,0.473
Cold Heart (PNAU Remix),Elton John,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,116.032,0.798
Thousand Miles,The Kid LAROI,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,80.565,0.657
She's All I Wanna Be,Tate McRae,spotify:track:7l9IqDtVWJurTvkQHq1BGh,160.118,0.626
Meet Me At Our Spot,THE ANXIETY: WILLOW,spotify:track:07MDkzWARZaLEdKxo6yArG,94.995,0.47
When You're Gone,Shawn Mendes,spotify:track:0U1W2LZVUX7qTm7dDpqxh6,147.148,0.691
Glimpse Of Us,Joji,spotify:track:6xGruZOHLs39ZbVccQTuPZ,169.914,0.317
Good 4 U,Olivia Rodrigo,spotify:track:4ZtFanR9U6ndgddUvNcjcG,166.928,0.664
So Good,Halsey,spotify:track:6kxaaIeowajN7w21PfMLbu,164.998,0.627
Light Switch,Charlie Puth,spotify:track:1jEBSDN5vYViJQr78W7jr2,184.008,0.627
Break My Soul,Beyonce,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,114.942,0.887
Numb,Marshmello,spotify:track:10xV5l9nhLvFpR8mqzs0bL,119.966,0.774
Oh My God,Adele,spotify:track:3Kkjo3cT83cw09VJyrLNwX,88.098,0.725
Left And Right,Charlie Puth,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,101.058,0.592
Love Me More,Sam Smith,spotify:track:6KGM8ddzLwXaI5RGWtoG1k,85.004,0.439
Music For A Sushi Restaurant,Harry Styles,spotify:track:5LYMamLv12UPbemOaTPyeV,107.041,0.715
2step,Ed Sheeran,spotify:track:5QRFjixYS70OyK2K0NDoBY,95.055,0.643
Betty (Get Money),Yung Gravy,spotify:track:4cacyP5c3PMlfnyjpg13xW,102.004,0.772
Happier Than Ever,Billie Eilish,spotify:track:4RVwu0g32PAqgUiJoXsdF8,81.055,0.225
2 Be Loved (Am I Ready),Lizzo,spotify:track:2rmwqU7yzTvzkiaRV53DpT,155.932,0.769
