Song Title,Artist,URI,Tempo,Energy
First Class,Jack Harlow,spotify:track:0wHFktze2PHC5jDt3B17DC,107.005,0.582
Wait For U,Future,spotify:track:59nOXPmaKlBfGMDeOVGrIK,83.389,0.642
Big Energy,Latto,spotify:track:6Zu3aw7FfjAF9WA0fA81Oq,106.017,0.807
Super Gremlin,Kodak Black,spotify:track:4A8cWXxKfIL3lAyUDzXbCF,72.993,0.414
Industry Baby,Lil Nas,spotify:track:27NovPIUIRrOZoCHxABJwK,149.995,0.704
Jimmy Cooks,Drake,spotify:track:3F5CgOj3wFlRv51JsHbxhe,165.921,0.673
Vegas,Doja Cat,spotify:track:0hquQWY3xvYqN4qtiquniF,159.969,0.601
In A Minute,Lil Baby,spotify:track:31lopd32BkJBTSgYE16c5e,113.42,0.583
Pushin P,Gunna,spotify:track:3XOalgusokruzA5ZBA2Qcb,77.502,0.422
Sweetest Pie,Megan Thee Stallion,spotify:track:7mFj0LlWtEJaEigguaWqYh,123.977,0.628
Super Freaky Girl,Nicki Minaj,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,133.01,0.891
Knife Talk,Drake,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,145.887,0.424
Way 2 Sexy,Drake,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,136.008,0.597
Broadway Girls,Lil Durk,spotify:track:3DZ8dbKg4OTSSqGARvecYd,74.967,0.745
What Happened To Virgil,Lil Durk,spotify:track:7ohROa13QK43JBRqfCmz4P,140.037,0.526
Puffin On Zootiez,Future,spotify:track:1qMMYpVatbRITKCfq1gasi,124.992,0.657
Girls Want Girls,Drake,spotify:track:37Nqx7iavZpotJSDXZWbJ3,86.975,0.438
To The Moon!,JNR CHOI,spotify:track:5vUnjhBzRJJIAOJPde6zDx,144.047,0.65
Sticky,Drake,spotify:track:4rmVZajAF7PkrCagGPHbqa,137.027,0.495
Who Want Smoke??,Nardo Wick,spotify:track:7ACW7VpgoKmfM1sKo15UhX,75.591,0.713
Betty (Get Money),Yung Gravy,spotify:track:4cacyP5c3PMlfnyjpg13xW,102.004,0.772
Cooped Up,Post Malone,spotify:track:7yOvB9wahx767BjLFZR1Rx,93.923,0.773
F.N.F. (Let's Go),Hitkidd,spotify:track:1vrFJDrysqmsNAgyjBzx4f,157.144,0.476
Staying Alive,DJ Khaled,spotify:track:0g2Bbgy7P41pFjMWJuzsf4,129.953,0.461
Sleazy Flow,SleazyWorld Go,spotify:track:5mt882Eqx22RwFOTE01jS8,77.487,0.234
Right On,Lil Baby,spotify:track:6ws54n2IzyrIxxyzlG2bVJ,165.991,0.618
Get Into It (Yuh),Doja Cat,spotify:track:0W6I02J9xcqK8MtSeosEXb,91.942,0.655
By Your Side,Rod Wave,spotify:track:5gUiTylvifZnUrynE4FFPu,157.975,0.508
Do We Have A Problem?,Nicki Minaj,spotify:track:1PNs0uGru3TcrA94kpyGnc,119.993,0.505
Hot Shit,"Cardi B, Ye",spotify:track:3uJFmluXzYedoJcvhpC1AW,157.003,0.685
Silent Hill,Kendrick Lamar,spotify:track:3lzUeaCbcCDB5IXYfqWRlF,140.07,0.577
Freaky Deaky,Tyga,spotify:track:3vySEUpD0tc801F2WZDLYw,104.019,0.653
Me Or Sum,"Nardo Wick, Lil Baby",spotify:track:2HHLfzE7PkljuqyYU4vwmh,160.333,0.573
Ahhh Ha,Lil Durk,spotify:track:54VFhe501kUbDYj2OrueMp,156.005,0.61
P Power,Gunna,spotify:track:0lEjxUUlKqjqXrVlIHFduD,119.251,0.591
Nail Tech,Jack Harlow,spotify:track:62Yo3FDddWY8ydu6PW2wyz,150.127,0.557
Scorpio,Moneybagg Yo,spotify:track:0BFGDkrXAneskCJdudSCro,84.983,0.532
Tomorrow 2,GloRilla,spotify:track:0WNfQxDGaPTl0yogcMR5v1,160.039,0.814
Hotel Lobby (Unc And Phew),Quavo,spotify:track:4vVjPTApwXZwB2H3mBq3ml,127.978,0.649
Too Easy,Gunna,spotify:track:1t55dGrBkLvKDzNa9QJ3LV,155.933,0.572
N95,Kendrick Lamar,spotify:track:0fX4oNGBWO3dSGUZcVdVV2,139.956,0.67
Rumors,Gucci Mane,spotify:track:0P2P1AxcRYhiZvoF5MyRmM,159.897,0.842
Chosen,Blxst,spotify:track:1dIWPXMX4kRHj6Dt2DStUQ,93.421,0.767
Dah Dah DahDah,Nardo Wick,spotify:track:2TSfStvlAMLw89u3tali79,167.912,0.373
Handsomer,Russ,spotify:track:0vp1sk3FzuDBeLMLcRhQdL,82.035,0.62
Already Dead,Juice WRLD,spotify:track:1hB3M3POeKMLxcEFEvPeqU,83.51,0.495
Family Ties,Baby Keem,spotify:track:3QFInJAm9eyaho5vBzxInN,134.093,0.611
Alone,Rod Wave,spotify:track:5ie5OPdaP9fivYaKcjwKF1,82.07,0.545
Plan B,Megan Thee Stallion,spotify:track:2PljnVsnl2PRwCvfhbdQup,170.439,0.522
Billie Eilish.,Armani White,spotify:track:27ZZdyTSQWI7Cug2d2PkqV,100.007,0.509
